 YEAR,  MON,  DAY, HOUR,      LOAD,  DRY BULB, DEW POINT,       OP4,    LAMBDA 
   87,    1,    1,    1,     10295,      21.8,      12.5,         0,      0.00
   87,    1,    1,    2,      9828,      21.9,      12.3,         0,      0.00
   87,    1,    1,    3,      9398,      22.0,      12.0,         0,      0.00
   87,    1,    1,    4,      9122,      22.0,      11.6,         0,      0.00
   87,    1,    1,    5,      9138,      20.6,      10.9,         0,      0.00
   87,    1,    1,    6,      9267,      19.5,      10.6,         0,      0.00
   87,    1,    1,    7,      9612,      19.4,      10.9,         0,      0.00
   87,    1,    1,    8,      9815,      21.6,      12.6,         0,      0.00
   87,    1,    1,    9,     10360,      24.5,      14.7,         0,      0.00
   87,    1,    1,   10,     10885,      27.5,      16.8,         0,      0.00
   87,    1,    1,   11,     11288,      29.9,      18.0,         0,      0.00
   87,    1,    1,   12,     11622,      32.0,      19.1,         0,      0.00
   87,    1,    1,   13,     11620,      33.6,      20.0,         0,      0.00
   87,    1,    1,   14,     11381,      33.8,      20.6,         0,      0.00
   87,    1,    1,   15,     11214,      33.5,      21.0,         0,      0.00
   87,    1,    1,   16,     11285,      33.0,      21.3,         0,      0.00
   87,    1,    1,   17,     12188,      32.9,      21.6,         0,      0.00
   87,    1,    1,   18,     12962,      32.7,      22.1,         0,      0.00
   87,    1,    1,   19,     12752,      32.5,      22.8,         0,      0.00
   87,    1,    1,   20,     12466,      32.3,      24.2,         0,      0.00
   87,    1,    1,   21,     12142,      32.2,      25.7,         0,      0.00
   87,    1,    1,   22,     11564,      32.1,      27.0,         0,      0.00
   87,    1,    1,   23,     10750,      32.1,      27.5,         0,      0.00
   87,    1,    1,   24,      9899,      32.1,      27.8,         0,      0.00
   87,    1,    2,    1,      9180,      32.1,      28.1,         0,      0.00
   87,    1,    2,    2,      8786,      32.3,      28.4,         0,      0.00
   87,    1,    2,    3,      8650,      32.5,      28.6,         0,      0.00
   87,    1,    2,    4,      8621,      32.7,      28.8,         0,      0.00
   87,    1,    2,    5,      8697,      32.8,      29.0,         0,      0.00
   87,    1,    2,    6,      9245,      32.9,      29.2,         0,      0.00
   87,    1,    2,    7,     10398,      32.8,      29.3,         0,      0.00
   87,    1,    2,    8,     11841,      32.5,      29.3,         0,      0.00
   87,    1,    2,    9,     12874,      32.0,      29.1,         0,      0.00
   87,    1,    2,   10,     13618,      31.6,      29.0,         0,      0.00
   87,    1,    2,   11,     14054,      31.3,      28.9,         0,      0.00
   87,    1,    2,   12,     14272,      31.1,      28.7,         0,      0.00
   87,    1,    2,   13,     14059,      31.0,      28.6,         0,      0.00
   87,    1,    2,   14,     13736,      31.0,      28.7,         0,      0.00
   87,    1,    2,   15,     13442,      31.0,      28.8,         0,      0.00
   87,    1,    2,   16,     13303,      31.0,      28.8,         0,      0.00
   87,    1,    2,   17,     14198,      30.9,      28.8,         0,      0.00
   87,    1,    2,   18,     14830,      30.9,      28.8,         0,      0.00
   87,    1,    2,   19,     14405,      30.7,      28.7,         0,      0.00
   87,    1,    2,   20,     13842,      30.4,      28.6,         0,      0.00
   87,    1,    2,   21,     13195,      30.0,      28.4,         0,      0.00
   87,    1,    2,   22,     12408,      29.6,      28.0,         0,      0.00
   87,    1,    2,   23,     11471,      29.2,      27.2,         0,      0.00
   87,    1,    2,   24,     10569,      28.8,      26.3,         0,      0.00
   87,    1,    3,    1,      9730,      28.5,      25.5,         0,      0.00
   87,    1,    3,    2,      9170,      28.2,      24.9,         0,      0.00
   87,    1,    3,    3,      8963,      28.0,      24.3,         0,      0.00
   87,    1,    3,    4,      8848,      27.5,      23.5,         0,      0.00
   87,    1,    3,    5,      8852,      26.8,      22.3,         0,      0.00
   87,    1,    3,    6,      9126,      25.9,      20.9,         0,      0.00
   87,    1,    3,    7,      9703,      25.3,      19.6,         0,      0.00
   87,    1,    3,    8,     10414,      25.1,      18.4,         0,      0.00
   87,    1,    3,    9,     11452,      25.1,      17.4,         0,      0.00
   87,    1,    3,   10,     12243,      25.6,      16.6,         0,      0.00
   87,    1,    3,   11,     12597,      26.6,      16.2,         0,      0.00
   87,    1,    3,   12,     12682,      27.6,      16.1,         0,      0.00
   87,    1,    3,   13,     12477,      28.4,      16.2,         0,      0.00
   87,    1,    3,   14,     12140,      28.4,      16.3,         0,      0.00
   87,    1,    3,   15,     11919,      28.0,      16.3,         0,      0.00
   87,    1,    3,   16,     11900,      27.4,      16.2,         0,      0.00
   87,    1,    3,   17,     12857,      26.3,      15.4,         0,      0.00
   87,    1,    3,   18,     14215,      25.1,      14.6,         0,      0.00
   87,    1,    3,   19,     14064,      23.9,      14.0,         0,      0.00
   87,    1,    3,   20,     13583,      23.2,      13.8,         0,      0.00
   87,    1,    3,   21,     13148,      22.6,      13.7,         0,      0.00
   87,    1,    3,   22,     12517,      22.0,      13.6,         0,      0.00
   87,    1,    3,   23,     11719,      21.4,      13.5,         0,      0.00
   87,    1,    3,   24,     10886,      20.8,      13.3,         0,      0.00
   87,    1,    4,    1,     10121,      20.3,      13.1,         0,      0.00
   87,    1,    4,    2,      9634,      19.9,      12.7,         0,      0.00
   87,    1,    4,    3,      9409,      19.5,      12.3,         0,      0.00
   87,    1,    4,    4,      9307,      18.9,      12.0,         0,      0.00
   87,    1,    4,    5,      9281,      17.8,      11.6,         0,      0.00
   87,    1,    4,    6,      9466,      17.0,      11.3,         0,      0.00
   87,    1,    4,    7,      9864,      17.0,      11.3,         0,      0.00
   87,    1,    4,    8,     10351,      18.8,      11.8,         0,      0.00
   87,    1,    4,    9,     11108,      21.2,      12.6,         0,      0.00
   87,    1,    4,   10,     11691,      24.0,      13.6,         0,      0.00
   87,    1,    4,   11,     11949,      26.8,      14.7,         0,      0.00
   87,    1,    4,   12,     12130,      29.4,      15.8,         0,      0.00
   87,    1,    4,   13,     12006,      31.5,      16.8,         0,      0.00
   87,    1,    4,   14,     11647,      32.0,      17.1,         0,      0.00
   87,    1,    4,   15,     11440,      31.9,      17.3,         0,      0.00
   87,    1,    4,   16,     11574,      31.5,      17.2,         0,      0.00
   87,    1,    4,   17,     12696,      30.9,      17.0,         0,      0.00
   87,    1,    4,   18,     13817,      30.0,      16.6,         0,      0.00
   87,    1,    4,   19,     13675,      28.9,      16.0,         0,      0.00
   87,    1,    4,   20,     13324,      28.1,      15.1,         0,      0.00
   87,    1,    4,   21,     12942,      27.1,      14.1,         0,      0.00
   87,    1,    4,   22,     12268,      26.2,      13.0,         0,      0.00
   87,    1,    4,   23,     11337,      25.3,      11.9,         0,      0.00
   87,    1,    4,   24,     10390,      24.3,      10.8,         0,      0.00
   87,    1,    5,    1,      9781,      23.4,       9.9,         0,      0.00
   87,    1,    5,    2,      9509,      22.5,       9.7,         0,      0.00
   87,    1,    5,    3,      9487,      21.7,       9.5,         0,      0.00
   87,    1,    5,    4,      9506,      20.8,       9.2,         0,      0.00
   87,    1,    5,    5,      9739,      20.0,       8.1,         0,      0.00
   87,    1,    5,    6,     10762,      19.6,       7.2,         0,      0.00
   87,    1,    5,    7,     13155,      19.9,       6.9,         0,      0.00
   87,    1,    5,    8,     15097,      21.7,       8.0,         0,      0.00
   87,    1,    5,    9,     15540,      23.9,       9.5,         0,      0.00
   87,    1,    5,   10,     15516,      26.5,      11.2,         0,      0.00
   87,    1,    5,   11,     15442,      28.8,      12.9,         0,      0.00
   87,    1,    5,   12,     15181,      31.1,      14.6,         0,      0.00
   87,    1,    5,   13,     14765,      33.0,      16.2,         0,      0.00
   87,    1,    5,   14,     14559,      34.0,      17.2,         0,      0.00
   87,    1,    5,   15,     14257,      34.3,      18.0,         0,      0.00
   87,    1,    5,   16,     14103,      33.9,      18.4,         0,      0.00
   87,    1,    5,   17,     15029,      32.4,      18.6,         0,      0.00
   87,    1,    5,   18,     16132,      30.5,      18.6,         0,      0.00
   87,    1,    5,   19,     15992,      28.6,      18.5,         0,      0.00
   87,    1,    5,   20,     15468,      27.7,      18.8,         0,      0.00
   87,    1,    5,   21,     14899,      26.7,      19.0,         0,      0.00
   87,    1,    5,   22,     13910,      25.6,      18.9,         0,      0.00
   87,    1,    5,   23,     12593,      24.0,      18.3,         0,      0.00
   87,    1,    5,   24,     11397,      22.3,      17.4,         0,      0.00
   87,    1,    6,    1,     10495,      20.7,      16.5,         0,      0.00
   87,    1,    6,    2,     10157,      19.4,      15.5,         0,      0.00
   87,    1,    6,    3,     10040,      18.2,      14.6,         0,      0.00
   87,    1,    6,    4,     10036,      17.4,      13.9,         0,      0.00
   87,    1,    6,    5,     10229,      17.1,      13.8,         0,      0.00
   87,    1,    6,    6,     11166,      17.5,      14.0,         0,      0.00
   87,    1,    6,    7,     13452,      18.5,      14.5,         0,      0.00
   87,    1,    6,    8,     15348,      20.4,      15.6,         0,      0.00
   87,    1,    6,    9,     15655,      22.8,      16.8,         0,      0.00
   87,    1,    6,   10,     15562,      25.5,      18.2,         0,      0.00
   87,    1,    6,   11,     15346,      28.1,      19.6,         0,      0.00
   87,    1,    6,   12,     15064,      30.5,      20.9,         0,      0.00
   87,    1,    6,   13,     14629,      32.3,      22.0,         0,      0.00
   87,    1,    6,   14,     14504,      33.0,      22.6,         0,      0.00
   87,    1,    6,   15,     14331,      33.1,      22.9,         0,      0.00
   87,    1,    6,   16,     14340,      32.8,      23.1,         0,      0.00
   87,    1,    6,   17,     15231,      32.1,      23.0,         0,      0.00
   87,    1,    6,   18,     16180,      31.3,      22.9,         0,      0.00
   87,    1,    6,   19,     15918,      30.4,      22.9,         0,      0.00
   87,    1,    6,   20,     15371,      30.1,      23.4,         0,      0.00
   87,    1,    6,   21,     14737,      30.0,      24.1,         0,      0.00
   87,    1,    6,   22,     13712,      30.1,      25.0,         0,      0.00
   87,    1,    6,   23,     12397,      30.7,      26.3,         0,      0.00
   87,    1,    6,   24,     11034,      31.4,      27.6,         0,      0.00
   87,    1,    7,    1,     10149,      32.4,      28.8,         0,      0.00
   87,    1,    7,    2,      9701,      33.4,      29.4,         0,      0.00
   87,    1,    7,    3,      9537,      34.2,      29.8,         0,      0.00
   87,    1,    7,    4,      9453,      34.8,      29.9,         0,      0.00
   87,    1,    7,    5,      9540,      34.8,      29.8,         0,      0.00
   87,    1,    7,    6,     10388,      34.6,      29.5,         0,      0.00
   87,    1,    7,    7,     12571,      34.4,      29.1,         0,      0.00
   87,    1,    7,    8,     14425,      34.5,      28.8,         0,      0.00
   87,    1,    7,    9,     14935,      34.8,      28.6,         0,      0.00
   87,    1,    7,   10,     15140,      35.5,      28.4,         0,      0.00
   87,    1,    7,   11,     15150,      36.8,      28.5,         0,      0.00
   87,    1,    7,   12,     15016,      38.2,      28.6,         0,      0.00
   87,    1,    7,   13,     14652,      39.5,      28.9,         0,      0.00
   87,    1,    7,   14,     14509,      40.1,      29.2,         0,      0.00
   87,    1,    7,   15,     14300,      40.4,      29.5,         0,      0.00
   87,    1,    7,   16,     14191,      40.4,      29.8,         0,      0.00
   87,    1,    7,   17,     14988,      40.0,      29.8,         0,      0.00
   87,    1,    7,   18,     15843,      39.2,      29.4,         0,      0.00
   87,    1,    7,   19,     15531,      38.2,      28.6,         0,      0.00
   87,    1,    7,   20,     15026,      36.9,      26.6,         0,      0.00
   87,    1,    7,   21,     14463,      35.6,      24.5,         0,      0.00
   87,    1,    7,   22,     13499,      34.4,      22.5,         0,      0.00
   87,    1,    7,   23,     12158,      33.5,      21.6,         0,      0.00
   87,    1,    7,   24,     10874,      32.7,      20.8,         0,      0.00
   87,    1,    8,    1,     10075,      31.7,      19.8,         0,      0.00
   87,    1,    8,    2,      9687,      30.4,      18.2,         0,      0.00
   87,    1,    8,    3,      9562,      29.0,      16.6,         0,      0.00
   87,    1,    8,    4,      9550,      27.7,      15.1,         0,      0.00
   87,    1,    8,    5,      9763,      26.5,      13.9,         0,      0.00
   87,    1,    8,    6,     10798,      25.6,      12.9,         0,      0.00
   87,    1,    8,    7,     13155,      24.9,      12.1,         0,      0.00
   87,    1,    8,    8,     14907,      24.7,      11.6,         0,      0.00
   87,    1,    8,    9,     15347,      24.9,      11.4,         0,      0.00
   87,    1,    8,   10,     15325,      25.6,      11.3,         0,      0.00
   87,    1,    8,   11,     15313,      26.9,      11.4,         0,      0.00
   87,    1,    8,   12,     15083,      28.3,      11.6,         0,      0.00
   87,    1,    8,   13,     14782,      29.6,      11.7,         0,      0.00
   87,    1,    8,   14,     14643,      30.0,      11.6,         0,      0.00
   87,    1,    8,   15,     14386,      30.0,      11.3,         0,      0.00
   87,    1,    8,   16,     14332,      29.6,      11.1,         0,      0.00
   87,    1,    8,   17,     15105,      28.4,      11.0,         0,      0.00
   87,    1,    8,   18,     16239,      27.0,      11.0,         0,      0.00
   87,    1,    8,   19,     16045,      25.7,      11.0,         0,      0.00
   87,    1,    8,   20,     15651,      24.9,      11.2,         0,      0.00
   87,    1,    8,   21,     15072,      24.1,      11.4,         0,      0.00
   87,    1,    8,   22,     14106,      23.2,      11.6,         0,      0.00
   87,    1,    8,   23,     12838,      22.1,      11.7,         0,      0.00
   87,    1,    8,   24,     11535,      21.1,      11.8,         0,      0.00
   87,    1,    9,    1,     10712,      20.4,      12.1,         0,      0.00
   87,    1,    9,    2,     10333,      20.3,      12.6,         0,      0.00
   87,    1,    9,    3,     10173,      20.5,      13.3,         0,      0.00
   87,    1,    9,    4,     10096,      21.0,      14.0,         0,      0.00
   87,    1,    9,    5,     10204,      21.7,      14.8,         0,      0.00
   87,    1,    9,    6,     11061,      22.6,      15.7,         0,      0.00
   87,    1,    9,    7,     13395,      24.1,      16.8,         0,      0.00
   87,    1,    9,    8,     15221,      26.1,      18.1,         0,      0.00
   87,    1,    9,    9,     15561,      28.4,      19.4,         0,      0.00
   87,    1,    9,   10,     15473,      30.7,      20.6,         0,      0.00
   87,    1,    9,   11,     15271,      32.8,      21.5,         0,      0.00
   87,    1,    9,   12,     14980,      34.7,      22.0,         0,      0.00
   87,    1,    9,   13,     14557,      36.1,      22.3,         0,      0.00
   87,    1,    9,   14,     14392,      36.8,      22.0,         0,      0.00
   87,    1,    9,   15,     14140,      36.7,      21.5,         0,      0.00
   87,    1,    9,   16,     13867,      35.9,      20.9,         0,      0.00
   87,    1,    9,   17,     14536,      34.1,      20.6,         0,      0.00
   87,    1,    9,   18,     15411,      32.0,      20.4,         0,      0.00
   87,    1,    9,   19,     15181,      30.0,      20.1,         0,      0.00
   87,    1,    9,   20,     14648,      29.0,      19.9,         0,      0.00
   87,    1,    9,   21,     14145,      28.3,      19.8,         0,      0.00
   87,    1,    9,   22,     13330,      27.6,      19.8,         0,      0.00
   87,    1,    9,   23,     12311,      26.8,      20.2,         0,      0.00
   87,    1,    9,   24,     11262,      26.2,      20.7,         0,      0.00
   87,    1,   10,    1,     10374,      25.9,      21.1,         0,      0.00
   87,    1,   10,    2,      9810,      26.0,      21.5,         0,      0.00
   87,    1,   10,    3,      9569,      26.4,      21.8,         0,      0.00
   87,    1,   10,    4,      9424,      26.9,      22.0,         0,      0.00
   87,    1,   10,    5,      9462,      27.3,      22.3,         0,      0.00
   87,    1,   10,    6,      9713,      27.8,      22.6,         0,      0.00
   87,    1,   10,    7,     10372,      28.3,      23.3,         0,      0.00
   87,    1,   10,    8,     11458,      28.5,      24.6,         0,      0.00
   87,    1,   10,    9,     12662,      28.8,      26.0,         0,      0.00
   87,    1,   10,   10,     13508,      29.2,      27.2,         0,      0.00
   87,    1,   10,   11,     13929,      30.1,      27.8,         0,      0.00
   87,    1,   10,   12,     14024,      30.9,      28.3,         0,      0.00
   87,    1,   10,   13,     13754,      31.7,      28.7,         0,      0.00
   87,    1,   10,   14,     13467,      32.1,      28.9,         0,      0.00
   87,    1,   10,   15,     13224,      32.4,      29.2,         0,      0.00
   87,    1,   10,   16,     13207,      32.7,      29.6,         0,      0.00
   87,    1,   10,   17,     13806,      33.1,      30.3,         0,      0.00
   87,    1,   10,   18,     14425,      33.5,      31.1,         0,      0.00
   87,    1,   10,   19,     14017,      33.8,      31.7,         0,      0.00
   87,    1,   10,   20,     13327,      34.1,      31.9,         0,      0.00
   87,    1,   10,   21,     12728,      34.2,      32.1,         0,      0.00
   87,    1,   10,   22,     11965,      34.4,      32.2,         0,      0.00
   87,    1,   10,   23,     11124,      34.6,      32.6,         0,      0.00
   87,    1,   10,   24,     10217,      34.7,      32.9,         0,      0.00
   87,    1,   11,    1,      9476,      34.7,      33.1,         0,      0.00
   87,    1,   11,    2,      8973,      34.5,      32.9,         0,      0.00
   87,    1,   11,    3,      8708,      34.2,      32.5,         0,      0.00
   87,    1,   11,    4,      8543,      33.7,      32.0,         0,      0.00
   87,    1,   11,    5,      8565,      33.0,      31.2,         0,      0.00
   87,    1,   11,    6,      8738,      32.4,      30.5,         0,      0.00
   87,    1,   11,    7,      9092,      31.8,      29.8,         0,      0.00
   87,    1,   11,    8,      9664,      31.9,      29.5,         0,      0.00
   87,    1,   11,    9,     10607,      32.0,      29.4,         0,      0.00
   87,    1,   11,   10,     11555,      32.3,      29.3,         0,      0.00
   87,    1,   11,   11,     12101,      32.7,      29.3,         0,      0.00
   87,    1,   11,   12,     12533,      33.1,      29.3,         0,      0.00
