 YEAR,  MON,  DAY, HOUR,      LOAD,  DRY BULB, DEW POINT,       OP4,    LAMBDA 
   91,    1,    1,    1,     11404,      17.0,       6.1,         0,      0.00
   91,    1,    1,    2,     10906,      16.5,       6.4,         0,      0.00
   91,    1,    1,    3,     10467,      16.1,       6.7,         0,      0.00
   91,    1,    1,    4,     10207,      15.6,       7.0,         0,      0.00
   91,    1,    1,    5,     10216,      14.8,       7.3,         0,      0.00
   91,    1,    1,    6,     10401,      14.5,       7.5,         0,      0.00
   91,    1,    1,    7,     10768,      15.0,       7.6,         0,      0.00
   91,    1,    1,    8,     11052,      17.5,       7.7,         0,      0.00
   91,    1,    1,    9,     11556,      20.6,       7.8,         0,      0.00
   91,    1,    1,   10,     12174,      23.6,       8.0,         0,      0.00
   91,    1,    1,   11,     12657,      25.8,       8.4,         0,      0.00
   91,    1,    1,   12,     12951,      27.6,       9.0,         0,      0.00
   91,    1,    1,   13,     12818,      29.1,       9.6,         0,      0.00
   91,    1,    1,   14,     12440,      29.9,      10.4,         0,      0.00
   91,    1,    1,   15,     12076,      30.1,      11.3,         0,      0.00
   91,    1,    1,   16,     12158,      29.9,      12.0,         0,      0.00
   91,    1,    1,   17,     13294,      29.2,      12.3,         0,      0.00
   91,    1,    1,   18,     14637,      28.2,      12.5,         0,      0.00
   91,    1,    1,   19,     14529,      27.3,      13.0,         0,      0.00
   91,    1,    1,   20,     14258,      26.8,      14.1,         0,      0.00
   91,    1,    1,   21,     13803,      26.4,      15.2,         0,      0.00
   91,    1,    1,   22,     13087,      26.2,      16.3,         0,      0.00
   91,    1,    1,   23,     12024,      26.3,      17.1,         0,      0.00
   91,    1,    1,   24,     11041,      26.7,      17.9,         0,      0.00
   91,    1,    2,    1,     10253,      27.1,      18.7,         0,      0.00
   91,    1,    2,    2,      9920,      27.7,      19.9,         0,      0.00
   91,    1,    2,    3,      9766,      28.2,      21.2,         0,      0.00
   91,    1,    2,    4,      9728,      28.7,      22.3,         0,      0.00
   91,    1,    2,    5,      9931,      28.9,      23.3,         0,      0.00
   91,    1,    2,    6,     10854,      29.2,      24.3,         0,      0.00
   91,    1,    2,    7,     13112,      30.1,      25.6,         0,      0.00
   91,    1,    2,    8,     14943,      32.1,      27.3,         0,      0.00
   91,    1,    2,    9,     15475,      34.5,      28.9,         0,      0.00
   91,    1,    2,   10,     15512,      37.2,      29.9,         0,      0.00
   91,    1,    2,   11,     15449,      40.1,      29.4,         0,      0.00
   91,    1,    2,   12,     15243,      42.8,      28.5,         0,      0.00
   91,    1,    2,   13,     14888,      44.8,      27.4,         0,      0.00
   91,    1,    2,   14,     14569,      45.5,      26.8,         0,      0.00
   91,    1,    2,   15,     14333,      45.3,      26.0,         0,      0.00
   91,    1,    2,   16,     14211,      44.2,      25.1,         0,      0.00
   91,    1,    2,   17,     15269,      42.1,      24.0,         0,      0.00
   91,    1,    2,   18,     16498,      39.6,      23.0,         0,      0.00
   91,    1,    2,   19,     16173,      37.0,      22.2,         0,      0.00
   91,    1,    2,   20,     15669,      35.4,      22.0,         0,      0.00
   91,    1,    2,   21,     14907,      33.9,      21.9,         0,      0.00
   91,    1,    2,   22,     14115,      32.3,      21.9,         0,      0.00
   91,    1,    2,   23,     12803,      30.8,      21.8,         0,      0.00
   91,    1,    2,   24,     11345,      29.5,      21.8,         0,      0.00
   91,    1,    3,    1,     10383,      28.5,      21.7,         0,      0.00
   91,    1,    3,    2,     10098,      28.0,      21.3,         0,      0.00
   91,    1,    3,    3,      9965,      27.7,      20.9,         0,      0.00
   91,    1,    3,    4,      9952,      27.6,      20.6,         0,      0.00
   91,    1,    3,    5,     10506,      27.7,      20.8,         0,      0.00
   91,    1,    3,    6,     11193,      27.9,      21.0,         0,      0.00
   91,    1,    3,    7,     13347,      28.6,      21.0,         0,      0.00
   91,    1,    3,    8,     15220,      29.9,      20.8,         0,      0.00
   91,    1,    3,    9,     15573,      31.2,      20.3,         0,      0.00
   91,    1,    3,   10,     15679,      32.6,      19.6,         0,      0.00
   91,    1,    3,   11,     15688,      33.5,      18.3,         0,      0.00
   91,    1,    3,   12,     15438,      34.1,      17.0,         0,      0.00
   91,    1,    3,   13,     15135,      34.4,      15.7,         0,      0.00
   91,    1,    3,   14,     14927,      34.1,      15.1,         0,      0.00
   91,    1,    3,   15,     14709,      33.3,      14.6,         0,      0.00
   91,    1,    3,   16,     14698,      32.2,      14.2,         0,      0.00
   91,    1,    3,   17,     15780,      30.6,      14.2,         0,      0.00
   91,    1,    3,   18,     16903,      28.9,      14.1,         0,      0.00
   91,    1,    3,   19,     16724,      27.5,      14.1,         0,      0.00
   91,    1,    3,   20,     16259,      26.9,      13.7,         0,      0.00
   91,    1,    3,   21,     15671,      26.4,      13.3,         0,      0.00
   91,    1,    3,   22,     14615,      25.8,      12.9,         0,      0.00
   91,    1,    3,   23,     13229,      24.5,      12.7,         0,      0.00
   91,    1,    3,   24,     11911,      23.2,      12.7,         0,      0.00
   91,    1,    4,    1,     11059,      22.2,      12.6,         0,      0.00
   91,    1,    4,    2,     10742,      21.6,      12.7,         0,      0.00
   91,    1,    4,    3,     10545,      21.2,      12.8,         0,      0.00
   91,    1,    4,    4,     10540,      20.9,      12.7,         0,      0.00
   91,    1,    4,    5,     10804,      20.5,      12.5,         0,      0.00
   91,    1,    4,    6,     11756,      20.4,      12.1,         0,      0.00
   91,    1,    4,    7,     13980,      20.8,      11.6,         0,      0.00
   91,    1,    4,    8,     15773,      22.3,      11.2,         0,      0.00
   91,    1,    4,    9,     16107,      24.1,      10.7,         0,      0.00
