 YEAR,  MON,  DAY, HOUR,      LOAD,  DRY BULB, DEW POINT,       OP4,    LAMBDA 
   97,    1,    1,    1,     12898,       3.9,     -11.6,         0,     29.04
   97,    1,    1,    2,     12353,       2.6,     -12.7,         0,     28.88
   97,    1,    1,    3,     11924,       2.4,     -12.5,         0,     27.96
   97,    1,    1,    4,     11735,       1.7,     -12.2,         0,     28.23
   97,    1,    1,    5,     11747,       1.6,     -11.3,         0,     28.38
   97,    1,    1,    6,     11983,       1.5,     -11.5,         0,     29.06
   97,    1,    1,    7,     12422,       1.1,     -11.9,         0,     30.51
   97,    1,    1,    8,     12694,       1.6,     -11.8,         0,     31.21
   97,    1,    1,    9,     13260,       3.1,     -11.1,         0,     30.33
   97,    1,    1,   10,     13867,       5.3,     -10.6,         0,     30.11
   97,    1,    1,   11,     14295,       8.4,      -8.9,         0,     28.77
   97,    1,    1,   12,     14495,      11.6,      -8.8,         0,     28.66
   97,    1,    1,   13,     14466,      14.5,      -8.2,         0,     28.24
   97,    1,    1,   14,     14157,      16.2,      -7.1,         0,     27.78
   97,    1,    1,   15,     13961,      17.5,      -6.2,         0,     26.38
   97,    1,    1,   16,     14080,      17.4,      -5.9,         0,     26.57
   97,    1,    1,   17,     15281,      17.3,      -3.7,         0,     29.34
   97,    1,    1,   18,     16507,      17.7,      -1.6,         0,     30.96
   97,    1,    1,   19,     16405,      17.7,      -0.5,         0,     33.55
   97,    1,    1,   20,     15960,      17.7,       1.0,         0,     30.72
   97,    1,    1,   21,     15429,      17.6,       1.8,         0,     32.43
   97,    1,    1,   22,     14494,      18.1,       3.4,         0,     29.40
   97,    1,    1,   23,     13185,      19.4,       4.2,         0,     27.64
   97,    1,    1,   24,     12037,      20.3,       9.7,         0,     26.80
   97,    1,    2,    1,     11272,      20.8,      13.5,         0,     26.12
   97,    1,    2,    2,     10915,      21.3,      16.6,         0,     26.67
   97,    1,    2,    3,     10794,      21.7,      19.0,         0,     21.05
   97,    1,    2,    4,     10732,      22.5,      20.3,         0,     19.73
   97,    1,    2,    5,     10887,      23.6,      21.7,         0,     24.82
   97,    1,    2,    6,     11767,      24.7,      22.6,         0,     26.03
   97,    1,    2,    7,     13879,      25.7,      24.1,         0,     27.91
   97,    1,    2,    8,     15409,      27.0,      25.2,         0,     30.39
   97,    1,    2,    9,     15994,      28.0,      25.7,         0,     28.44
   97,    1,    2,   10,     16253,      29.2,      26.0,         0,     27.72
   97,    1,    2,   11,     16385,      29.9,      26.0,         0,     28.19
   97,    1,    2,   12,     16312,      30.6,      26.3,         0,     28.28
   97,    1,    2,   13,     16128,      31.6,      26.9,         0,     30.74
   97,    1,    2,   14,     16043,      32.4,      27.0,         0,     32.65
   97,    1,    2,   15,     15798,      32.7,      27.4,         0,     30.52
   97,    1,    2,   16,     15698,      33.3,      27.7,         0,     30.48
   97,    1,    2,   17,     16625,      33.7,      28.3,         0,     33.31
   97,    1,    2,   18,     17609,      33.4,      27.8,         0,     35.67
   97,    1,    2,   19,     17354,      32.5,      27.4,         0,     34.46
   97,    1,    2,   20,     16724,      31.7,      26.8,         0,     32.16
   97,    1,    2,   21,     16204,      31.6,      27.6,         0,     30.73
   97,    1,    2,   22,     15022,      31.9,      28.0,         0,     28.82
   97,    1,    2,   23,     13468,      32.0,      27.8,         0,     28.29
   97,    1,    2,   24,     12050,      31.8,      28.2,         0,     27.71
   97,    1,    3,    1,     11044,      32.3,      28.9,         0,     21.20
   97,    1,    3,    2,     10539,      32.4,      30.1,         0,     19.57
   97,    1,    3,    3,     10286,      32.7,      30.4,         0,     18.36
   97,    1,    3,    4,     10234,      32.7,      30.6,         0,     17.87
   97,    1,    3,    5,     10411,      32.6,      31.3,         0,     18.72
   97,    1,    3,    6,     11317,      33.2,      31.5,         0,     22.14
