 YEAR,  MON,  DAY, HOUR,      LOAD,  DRY BULB, DEW POINT,       OP4,    LAMBDA 
   88,    1,    1,    1,     10732,      35.6,      25.2,         0,      0.00
   88,    1,    1,    2,     10161,      35.8,      25.4,         0,      0.00
   88,    1,    1,    3,      9584,      36.0,      25.9,         0,      0.00
   88,    1,    1,    4,      9211,      36.0,      26.5,         0,      0.00
   88,    1,    1,    5,      9083,      35.7,      27.6,         0,      0.00
   88,    1,    1,    6,      9180,      35.5,      28.6,         0,      0.00
   88,    1,    1,    7,      9393,      35.5,      29.7,         0,      0.00
   88,    1,    1,    8,      9668,      35.7,      30.2,         0,      0.00
   88,    1,    1,    9,     10244,      36.5,      30.7,         0,      0.00
   88,    1,    1,   10,     10998,      37.7,      31.2,         0,      0.00
   88,    1,    1,   11,     11617,      40.1,      32.2,         0,      0.00
   88,    1,    1,   12,     11908,      42.4,      33.0,         0,      0.00
   88,    1,    1,   13,     11859,      44.2,      33.3,         0,      0.00
   88,    1,    1,   14,     11588,      44.2,      32.5,         0,      0.00
   88,    1,    1,   15,     11389,      43.4,      31.3,         0,      0.00
   88,    1,    1,   16,     11432,      42.2,      29.7,         0,      0.00
   88,    1,    1,   17,     12331,      40.6,      27.8,         0,      0.00
   88,    1,    1,   18,     13222,      38.6,      25.7,         0,      0.00
   88,    1,    1,   19,     13021,      36.4,      23.3,         0,      0.00
   88,    1,    1,   20,     12750,      34.6,      20.9,         0,      0.00
   88,    1,    1,   21,     12434,      32.9,      18.5,         0,      0.00
   88,    1,    1,   22,     12000,      31.3,      16.2,         0,      0.00
   88,    1,    1,   23,     11351,      30.4,      14.2,         0,      0.00
   88,    1,    1,   24,     10588,      29.6,      12.4,         0,      0.00
   88,    1,    2,    1,      9896,      28.7,      10.7,         0,      0.00
   88,    1,    2,    2,      9503,      27.4,       9.1,         0,      0.00
   88,    1,    2,    3,      9290,      25.9,       7.8,         0,      0.00
   88,    1,    2,    4,      9270,      24.6,       6.8,         0,      0.00
   88,    1,    2,    5,      9380,      23.3,       6.3,         0,      0.00
   88,    1,    2,    6,      9643,      22.4,       6.0,         0,      0.00
   88,    1,    2,    7,     10311,      21.9,       5.8,         0,      0.00
   88,    1,    2,    8,     11044,      22.3,       5.5,         0,      0.00
   88,    1,    2,    9,     12187,      23.3,       5.4,         0,      0.00
   88,    1,    2,   10,     13109,      24.4,       5.2,         0,      0.00
   88,    1,    2,   11,     13453,      25.7,       4.9,         0,      0.00
   88,    1,    2,   12,     13446,      26.9,       4.7,         0,      0.00
   88,    1,    2,   13,     13079,      27.9,       4.5,         0,      0.00
   88,    1,    2,   14,     12596,      28.2,       4.4,         0,      0.00
   88,    1,    2,   15,     12270,      28.0,       4.4,         0,      0.00
   88,    1,    2,   16,     12310,      27.2,       4.4,         0,      0.00
   88,    1,    2,   17,     13403,      25.4,       4.5,         0,      0.00
   88,    1,    2,   18,     14669,      23.3,       4.6,         0,      0.00
   88,    1,    2,   19,     14617,      21.4,       4.8,         0,      0.00
   88,    1,    2,   20,     14322,      20.6,       5.0,         0,      0.00
   88,    1,    2,   21,     13942,      19.9,       5.2,         0,      0.00
   88,    1,    2,   22,     13387,      19.0,       5.5,         0,      0.00
   88,    1,    2,   23,     12678,      17.6,       5.7,         0,      0.00
   88,    1,    2,   24,     11891,      16.2,       5.8,         0,      0.00
   88,    1,    3,    1,     11216,      15.0,       5.8,         0,      0.00
   88,    1,    3,    2,     10752,      14.3,       5.5,         0,      0.00
   88,    1,    3,    3,     10464,      13.6,       5.1,         0,      0.00
   88,    1,    3,    4,     10410,      13.0,       4.6,         0,      0.00
   88,    1,    3,    5,     10437,      11.9,       4.0,         0,      0.00
   88,    1,    3,    6,     10661,      11.3,       3.6,         0,      0.00
   88,    1,    3,    7,     11053,      11.8,       3.8,         0,      0.00
   88,    1,    3,    8,     11538,      14.4,       5.1,         0,      0.00
   88,    1,    3,    9,     12389,      17.6,       6.6,         0,      0.00
   88,    1,    3,   10,     13056,      21.0,       7.8,         0,      0.00
   88,    1,    3,   11,     13410,      23.5,       7.8,         0,      0.00
   88,    1,    3,   12,     13598,      25.6,       7.6,         0,      0.00
   88,    1,    3,   13,     13467,      27.3,       7.6,         0,      0.00
   88,    1,    3,   14,     13041,      27.7,       8.2,         0,      0.00
   88,    1,    3,   15,     12849,      27.7,       8.9,         0,      0.00
   88,    1,    3,   16,     12882,      27.2,       9.5,         0,      0.00
   88,    1,    3,   17,     13849,      26.7,      10.2,         0,      0.00
   88,    1,    3,   18,     14749,      26.0,      10.8,         0,      0.00
   88,    1,    3,   19,     14818,      25.4,      11.4,         0,      0.00
   88,    1,    3,   20,     14463,      25.3,      11.8,         0,      0.00
   88,    1,    3,   21,     14018,      25.4,      12.5,         0,      0.00
   88,    1,    3,   22,     13238,      25.4,      13.5,         0,      0.00
   88,    1,    3,   23,     12186,      25.3,      15.2,         0,      0.00
   88,    1,    3,   24,     11208,      25.1,      17.0,         0,      0.00
   88,    1,    4,    1,     10538,      24.8,      18.6,         0,      0.00
   88,    1,    4,    2,     10212,      24.5,      19.4,         0,      0.00
   88,    1,    4,    3,     10058,      24.1,      20.0,         0,      0.00
   88,    1,    4,    4,     10043,      23.8,      20.6,         0,      0.00
   88,    1,    4,    5,     10253,      23.9,      21.2,         0,      0.00
   88,    1,    4,    6,     11203,      24.0,      21.6,         0,      0.00
   88,    1,    4,    7,     13147,      24.4,      22.0,         0,      0.00
   88,    1,    4,    8,     14762,      25.0,      22.3,         0,      0.00
   88,    1,    4,    9,     15549,      25.7,      22.7,         0,      0.00
   88,    1,    4,   10,     15993,      26.7,      23.2,         0,      0.00
   88,    1,    4,   11,     16193,      27.7,      23.9,         0,      0.00
   88,    1,    4,   12,     16268,      28.8,      24.8,         0,      0.00
   88,    1,    4,   13,     16002,      29.8,      25.5,         0,      0.00
   88,    1,    4,   14,     15815,      30.5,      26.1,         0,      0.00
   88,    1,    4,   15,     15466,      31.0,      26.5,         0,      0.00
   88,    1,    4,   16,     15341,      31.1,      26.5,         0,      0.00
   88,    1,    4,   17,     16130,      30.6,      25.5,         0,      0.00
   88,    1,    4,   18,     17058,      30.1,      24.3,         0,      0.00
   88,    1,    4,   19,     16774,      29.5,      22.8,         0,      0.00
   88,    1,    4,   20,     16309,      29.5,      21.4,         0,      0.00
   88,    1,    4,   21,     15628,      29.2,      19.6,         0,      0.00
   88,    1,    4,   22,     14689,      28.4,      17.3,         0,      0.00
   88,    1,    4,   23,     13346,      26.3,      14.1,         0,      0.00
   88,    1,    4,   24,     12046,      23.8,      10.6,         0,      0.00
   88,    1,    5,    1,     11320,      21.5,       6.9,         0,      0.00
   88,    1,    5,    2,     11019,      19.7,       3.3,         0,      0.00
   88,    1,    5,    3,     10902,      18.2,       0.1,         0,      0.00
   88,    1,    5,    4,     10944,      16.6,      -2.6,         0,      0.00
   88,    1,    5,    5,     11226,      14.9,      -3.7,         0,      0.00
   88,    1,    5,    6,     12233,      13.6,      -4.3,         0,      0.00
   88,    1,    5,    7,     14658,      13.0,      -4.4,         0,      0.00
   88,    1,    5,    8,     16417,      13.4,      -4.5,         0,      0.00
   88,    1,    5,    9,     16836,      14.3,      -4.3,         0,      0.00
   88,    1,    5,   10,     16838,      15.3,      -4.0,         0,      0.00
   88,    1,    5,   11,     16792,      16.1,      -3.6,         0,      0.00
   88,    1,    5,   12,     16669,      16.7,      -3.4,         0,      0.00
   88,    1,    5,   13,     16461,      17.2,      -3.6,         0,      0.00
   88,    1,    5,   14,     16374,      17.0,      -4.8,         0,      0.00
   88,    1,    5,   15,     16248,      16.6,      -6.2,         0,      0.00
   88,    1,    5,   16,     16334,      15.8,      -7.3,         0,      0.00
   88,    1,    5,   17,     17316,      14.8,      -7.6,         0,      0.00
   88,    1,    5,   18,     18468,      13.7,      -7.6,        18,      0.00
   88,    1,    5,   19,     18172,      12.5,      -7.5,        14,      0.00
   88,    1,    5,   20,     17761,      11.6,      -7.4,        10,      0.00
   88,    1,    5,   21,     17229,      10.7,      -7.2,        10,      0.00
   88,    1,    5,   22,     16267,       9.9,      -7.0,        10,      0.00
   88,    1,    5,   23,     14854,       9.6,      -7.1,         0,      0.00
   88,    1,    5,   24,     13589,       9.3,      -7.4,         0,      0.00
   88,    1,    6,    1,     12786,       9.0,      -7.5,         0,      0.00
   88,    1,    6,    2,     12409,       8.4,      -7.7,         0,      0.00
   88,    1,    6,    3,     12262,       7.6,      -7.8,         0,      0.00
   88,    1,    6,    4,     12234,       7.1,      -7.8,         0,      0.00
   88,    1,    6,    5,     12465,       6.6,      -7.6,         0,      0.00
   88,    1,    6,    6,     13411,       6.5,      -7.1,         0,      0.00
   88,    1,    6,    7,     15739,       6.9,      -6.6,         0,      0.00
   88,    1,    6,    8,     17468,       8.5,      -5.8,         0,      0.00
   88,    1,    6,    9,     17633,      10.5,      -4.9,         0,      0.00
   88,    1,    6,   10,     17567,      12.7,      -4.2,         0,      0.00
   88,    1,    6,   11,     17423,      14.6,      -4.0,         0,      0.00
   88,    1,    6,   12,     17206,      16.4,      -3.9,         0,      0.00
   88,    1,    6,   13,     16852,      17.7,      -4.0,         0,      0.00
   88,    1,    6,   14,     16694,      18.2,      -4.3,         0,      0.00
   88,    1,    6,   15,     16446,      18.1,      -4.5,         0,      0.00
   88,    1,    6,   16,     16418,      17.5,      -4.7,        51,      0.00
   88,    1,    6,   17,     17261,      16.5,      -4.3,        61,      0.00
   88,    1,    6,   18,     18359,      15.2,      -4.0,       292,      0.00
   88,    1,    6,   19,     18116,      13.8,      -3.9,       152,      0.00
   88,    1,    6,   20,     17695,      12.6,      -4.8,        10,      0.00
   88,    1,    6,   21,     17270,      11.5,      -5.8,         0,      0.00
   88,    1,    6,   22,     16337,      10.5,      -6.7,         0,      0.00
   88,    1,    6,   23,     14981,       9.7,      -7.2,         0,      0.00
   88,    1,    6,   24,     13740,       9.0,      -7.6,         0,      0.00
   88,    1,    7,    1,     12921,       8.3,      -8.3,         0,      0.00
   88,    1,    7,    2,     12588,       7.3,      -9.4,         0,      0.00
   88,    1,    7,    3,     12421,       6.3,     -10.6,         0,      0.00
   88,    1,    7,    4,     12376,       5.4,     -11.7,         0,      0.00
   88,    1,    7,    5,     12662,       4.5,     -12.7,         0,      0.00
   88,    1,    7,    6,     13634,       4.0,     -13.4,         0,      0.00
   88,    1,    7,    7,     16016,       3.9,     -13.7,         0,      0.00
   88,    1,    7,    8,     17698,       4.5,     -13.0,        10,      0.00
   88,    1,    7,    9,     18000,       5.8,     -12.1,        10,      0.00
   88,    1,    7,   10,     17940,       7.6,     -11.2,         5,      0.00
   88,    1,    7,   11,     17709,      10.0,     -10.7,         0,      0.00
   88,    1,    7,   12,     17411,      12.6,     -10.2,         0,      0.00
   88,    1,    7,   13,     17031,      14.7,      -9.8,         0,      0.00
   88,    1,    7,   14,     16806,      15.5,      -9.5,         0,      0.00
   88,    1,    7,   15,     16598,      15.6,      -9.3,         0,      0.00
   88,    1,    7,   16,     16587,      15.2,      -9.3,         0,      0.00
   88,    1,    7,   17,     17549,      14.1,      -9.4,         0,      0.00
   88,    1,    7,   18,     18472,      12.6,      -9.6,        10,      0.00
   88,    1,    7,   19,     18299,      11.0,      -9.6,        10,      0.00
