 YEAR,  MON,  DAY, HOUR,      LOAD,  DRY BULB, DEW POINT,       OP4,    LAMBDA 
   90,    1,    1,    1,     10560,      41.6,      41.0,         0,      0.00
   90,    1,    1,    2,     10000,      42.1,      41.5,         0,      0.00
   90,    1,    1,    3,      9455,      42.5,      41.7,         0,      0.00
   90,    1,    1,    4,      9124,      42.5,      41.5,         0,      0.00
   90,    1,    1,    5,      9040,      41.9,      40.4,         0,      0.00
   90,    1,    1,    6,      9165,      41.0,      38.7,         0,      0.00
   90,    1,    1,    7,      9482,      40.1,      36.2,         0,      0.00
   90,    1,    1,    8,      9911,      39.3,      32.7,         0,      0.00
   90,    1,    1,    9,     10651,      38.6,      29.0,         0,      0.00
   90,    1,    1,   10,     11631,      38.1,      25.4,         0,      0.00
   90,    1,    1,   11,     12342,      38.2,      23.0,         0,      0.00
   90,    1,    1,   12,     12733,      38.2,      21.0,         0,      0.00
   90,    1,    1,   13,     12778,      37.7,      19.2,         0,      0.00
   90,    1,    1,   14,     12557,      36.2,      17.7,         0,      0.00
   90,    1,    1,   15,     12393,      34.3,      16.5,         0,      0.00
   90,    1,    1,   16,     12586,      32.3,      15.4,         0,      0.00
   90,    1,    1,   17,     13702,      30.6,      14.2,         0,      0.00
   90,    1,    1,   18,     15043,      29.0,      13.2,         0,      0.00
   90,    1,    1,   19,     15031,      27.6,      12.3,         0,      0.00
   90,    1,    1,   20,     14850,      26.9,      11.7,         0,      0.00
   90,    1,    1,   21,     14415,      26.5,      11.4,         0,      0.00
   90,    1,    1,   22,     13716,      26.2,      11.2,         0,      0.00
   90,    1,    1,   23,     12757,      25.7,      11.4,         0,      0.00
   90,    1,    1,   24,     11758,      25.4,      11.6,         0,      0.00
   90,    1,    2,    1,     11005,      25.1,      11.8,         0,      0.00
   90,    1,    2,    2,     10669,      24.7,      11.6,         0,      0.00
   90,    1,    2,    3,     10570,      24.5,      11.3,         0,      0.00
   90,    1,    2,    4,     10627,      24.3,      11.3,         0,      0.00
   90,    1,    2,    5,     10865,      24.1,      11.8,         0,      0.00
   90,    1,    2,    6,     11859,      24.3,      12.4,         0,      0.00
   90,    1,    2,    7,     14204,      24.8,      13.2,         0,      0.00
   90,    1,    2,    8,     16017,      26.1,      14.0,         0,      0.00
   90,    1,    2,    9,     16545,      27.7,      14.9,         0,      0.00
   90,    1,    2,   10,     16615,      29.6,      15.9,         0,      0.00
   90,    1,    2,   11,     16565,      31.8,      16.8,         0,      0.00
   90,    1,    2,   12,     16408,      33.8,      17.7,         0,      0.00
   90,    1,    2,   13,     15962,      35.7,      18.3,         0,      0.00
   90,    1,    2,   14,     15733,      36.8,      18.4,         0,      0.00
   90,    1,    2,   15,     15397,      37.4,      18.3,         0,      0.00
   90,    1,    2,   16,     15309,      37.3,      18.2,         0,      0.00
   90,    1,    2,   17,     16285,      36.1,      18.5,         0,      0.00
   90,    1,    2,   18,     17509,      34.6,      18.8,         0,      0.00
   90,    1,    2,   19,     17272,      33.2,      18.8,         0,      0.00
   90,    1,    2,   20,     16758,      32.8,      18.5,         0,      0.00
   90,    1,    2,   21,     16097,      32.5,      18.1,         0,      0.00
   90,    1,    2,   22,     15088,      32.2,      17.8,         0,      0.00
   90,    1,    2,   23,     13699,      31.7,      17.8,         0,      0.00
   90,    1,    2,   24,     12268,      31.3,      18.0,         0,      0.00
   90,    1,    3,    1,     11390,      30.9,      18.2,         0,      0.00
   90,    1,    3,    2,     11051,      30.6,      18.5,         0,      0.00
   90,    1,    3,    3,     10847,      30.3,      18.7,         0,      0.00
   90,    1,    3,    4,     10812,      29.8,      18.8,         0,      0.00
   90,    1,    3,    5,     11019,      28.9,      18.5,         0,      0.00
   90,    1,    3,    6,     11984,      28.3,      18.3,         0,      0.00
