 YEAR,  MON,  DAY, HOUR,      LOAD,  DRY BULB, DEW POINT,       OP4,    LAMBDA 
   98,    1,    1,    1,     12644,       9.3,      -3.7,         0,     27.02
   98,    1,    1,    2,     12069,       8.3,      -4.6,         0,     27.31
   98,    1,    1,    3,     11694,       7.4,      -3.3,         0,     26.46
   98,    1,    1,    4,     11519,       5.9,      -4.0,         0,     25.72
   98,    1,    1,    5,     11498,       5.3,      -4.0,         0,     25.89
   98,    1,    1,    6,     11744,       4.6,      -3.7,         0,     26.91
   98,    1,    1,    7,     12249,       4.0,      -4.5,         0,     28.62
   98,    1,    1,    8,     12527,       3.8,      -4.9,         0,     28.09
   98,    1,    1,    9,     13124,       4.4,      -3.8,         0,     27.89
   98,    1,    1,   10,     13761,       6.3,      -3.7,         0,     29.85
   98,    1,    1,   11,     14218,       9.4,      -1.8,         0,     33.04
   98,    1,    1,   12,     14453,      12.0,      -1.5,         0,     32.75
   98,    1,    1,   13,     14356,      15.2,      -0.4,         0,     31.95
   98,    1,    1,   14,     14063,      17.9,       1.5,         0,     31.64
   98,    1,    1,   15,     13865,      19.5,       2.7,         0,     30.17
   98,    1,    1,   16,     13973,      20.0,       4.0,         0,     29.61
   98,    1,    1,   17,     15123,      20.6,       5.0,         0,     33.64
   98,    1,    1,   18,     16268,      20.4,       6.0,         0,     34.56
   98,    1,    1,   19,     16146,      21.1,       6.9,         0,     32.07
   98,    1,    1,   20,     15678,      21.7,       8.4,         0,     30.35
   98,    1,    1,   21,     15223,      22.8,      10.5,         0,     29.99
   98,    1,    1,   22,     14447,      24.4,      12.4,         0,     28.44
   98,    1,    1,   23,     13302,      25.1,      13.4,         0,     26.79
   98,    1,    1,   24,     12142,      26.0,      12.8,         0,     26.38
   98,    1,    2,    1,     11271,      26.7,      13.6,         0,     25.54
   98,    1,    2,    2,     10806,      27.3,      14.0,         0,     24.81
   98,    1,    2,    3,     10541,      27.8,      14.6,         0,     24.62
   98,    1,    2,    4,     10451,      28.8,      15.0,         0,     24.09
   98,    1,    2,    5,     10556,      29.3,      15.0,         0,     24.68
   98,    1,    2,    6,     11213,      29.8,      15.6,         0,     24.60
   98,    1,    2,    7,     12518,      30.5,      16.1,         0,     26.70
   98,    1,    2,    8,     13706,      31.2,      16.6,         0,     27.24
   98,    1,    2,    9,     14563,      31.8,      17.2,         0,     27.65
   98,    1,    2,   10,     15207,      33.0,      18.2,         0,     29.22
   98,    1,    2,   11,     15410,      34.1,      19.0,         0,     29.61
   98,    1,    2,   12,     15329,      35.9,      19.8,         0,     29.96
   98,    1,    2,   13,     15051,      36.8,      21.3,         0,     26.95
   98,    1,    2,   14,     14670,      38.5,      22.8,         0,     24.87
   98,    1,    2,   15,     14320,      39.5,      24.1,         0,     24.73
   98,    1,    2,   16,     14126,      40.4,      24.9,         0,     24.81
   98,    1,    2,   17,     14996,      39.8,      26.0,         0,     26.69
   98,    1,    2,   18,     16165,      37.8,      25.8,         0,     31.65
   98,    1,    2,   19,     15941,      37.2,      25.6,         0,     30.77
   98,    1,    2,   20,     15354,      37.2,      25.6,         0,     27.59
   98,    1,    2,   21,     14824,      35.8,      25.6,         0,     26.28
   98,    1,    2,   22,     14065,      36.1,      25.5,         0,     25.27
   98,    1,    2,   23,     12979,      36.4,      25.3,         0,     24.65
   98,    1,    2,   24,     11774,      36.9,      26.0,         0,     23.74
   98,    1,    3,    1,     10752,      37.2,      26.6,         0,     23.46
   98,    1,    3,    2,     10154,      36.8,      26.4,         0,     22.54
   98,    1,    3,    3,      9798,      38.3,      27.2,         0,     21.61
   98,    1,    3,    4,      9669,      39.5,      27.3,         0,     21.37
   98,    1,    3,    5,      9674,      39.3,      28.2,         0,     21.53
   98,    1,    3,    6,      9982,      40.4,      29.2,         0,     22.57
   98,    1,    3,    7,     10608,      40.6,      30.0,         0,     22.47
   98,    1,    3,    8,     11370,      41.5,      30.1,         0,     22.59
   98,    1,    3,    9,     12401,      42.2,      29.8,         0,     23.22
   98,    1,    3,   10,     13205,      43.8,      28.8,         0,     23.78
   98,    1,    3,   11,     13512,      46.3,      27.9,         0,     24.27
   98,    1,    3,   12,     13445,      49.0,      27.8,         0,     23.67
   98,    1,    3,   13,     13158,      52.9,      26.8,         0,     22.89
   98,    1,    3,   14,     12679,      54.5,      26.4,         0,     22.49
   98,    1,    3,   15,     12492,      55.1,      27.6,         0,     21.58
   98,    1,    3,   16,     12369,      55.0,      28.9,         0,     21.54
   98,    1,    3,   17,     13415,      54.1,      29.6,         0,     23.09
   98,    1,    3,   18,     14558,      51.8,      29.9,         0,     25.96
   98,    1,    3,   19,     14379,      49.1,      30.9,         0,     25.80
   98,    1,    3,   20,     13914,      48.5,      31.1,         0,     24.21
   98,    1,    3,   21,     13443,      48.3,      32.0,         0,     23.91
   98,    1,    3,   22,     12752,      48.8,      32.6,         0,     22.59
   98,    1,    3,   23,     11799,      48.8,      33.2,         0,     21.75
   98,    1,    3,   24,     10736,      48.3,      33.0,         0,     21.44
   98,    1,    4,    1,      9813,      47.6,      33.1,         0,     21.36
   98,    1,    4,    2,      9265,      47.5,      33.0,         0,     21.27
   98,    1,    4,    3,      8942,      47.1,      33.3,         0,     21.13
   98,    1,    4,    4,      8801,      47.9,      33.9,         0,     20.61
   98,    1,    4,    5,      8784,      47.6,      35.2,         0,     20.59
   98,    1,    4,    6,      8994,      47.9,      36.4,         0,     20.71
   98,    1,    4,    7,      9446,      47.0,      35.8,         0,     20.79
   98,    1,    4,    8,      9993,      47.3,      36.0,         0,     20.15
   98,    1,    4,    9,     10890,      46.0,      36.7,         0,     21.96
   98,    1,    4,   10,     11629,      48.3,      38.8,         0,     22.93
   98,    1,    4,   11,     12077,      50.3,      39.6,         0,     23.99
   98,    1,    4,   12,     12347,      51.9,      41.4,         0,     24.35
   98,    1,    4,   13,     12381,      52.4,      41.0,         0,     24.06
   98,    1,    4,   14,     12290,      51.0,      38.5,         0,     23.18
   98,    1,    4,   15,     12252,      49.4,      38.3,         0,     23.02
   98,    1,    4,   16,     12552,      47.1,      37.3,         0,     23.46
   98,    1,    4,   17,     13854,      43.9,      34.2,         0,     25.69
   98,    1,    4,   18,     14874,      42.0,      35.2,         0,     29.23
   98,    1,    4,   19,     14746,      40.6,      33.0,         0,     28.53
   98,    1,    4,   20,     14416,      38.0,      32.7,         0,     26.60
   98,    1,    4,   21,     13877,      37.2,      32.8,         0,     25.04
   98,    1,    4,   22,     12967,      36.1,      32.6,         0,     23.22
   98,    1,    4,   23,     11780,      35.3,      32.2,         0,     22.15
   98,    1,    4,   24,     10722,      34.8,      32.1,         0,     21.68
   98,    1,    5,    1,      9981,      34.4,      32.2,         0,     21.05
   98,    1,    5,    2,      9627,      34.4,      32.6,         0,     19.76
   98,    1,    5,    3,      9472,      34.4,      32.5,         0,     18.73
   98,    1,    5,    4,      9484,      34.4,      32.7,         0,     18.75
   98,    1,    5,    5,      9755,      34.8,      32.3,         0,     19.70
   98,    1,    5,    6,     10890,      34.7,      32.6,         0,     21.68
   98,    1,    5,    7,     13307,      34.9,      33.0,         0,     23.37
   98,    1,    5,    8,     14943,      34.9,      33.3,         0,     24.61
   98,    1,    5,    9,     15304,      35.4,      33.3,         0,     25.62
   98,    1,    5,   10,     15421,      35.9,      33.9,         0,     26.34
   98,    1,    5,   11,     15583,      36.5,      35.0,         0,     26.69
   98,    1,    5,   12,     15606,      37.0,      35.3,         0,     26.80
   98,    1,    5,   13,     15347,      38.6,      37.0,         0,     26.29
   98,    1,    5,   14,     15193,      39.6,      37.4,         0,     26.28
   98,    1,    5,   15,     15091,      40.1,      38.0,         0,     25.78
   98,    1,    5,   16,     15066,      40.5,      38.6,         0,     25.73
   98,    1,    5,   17,     16095,      39.6,      38.1,         0,     27.93
   98,    1,    5,   18,     16997,      39.1,      38.4,         0,     30.43
   98,    1,    5,   19,     16861,      39.4,      38.7,         0,     31.33
   98,    1,    5,   20,     16282,      39.5,      38.9,         0,     28.53
   98,    1,    5,   21,     15574,      40.1,      39.6,         0,     26.06
   98,    1,    5,   22,     14420,      40.3,      40.1,         0,     24.06
   98,    1,    5,   23,     12835,      40.8,      40.3,         0,     22.94
   98,    1,    5,   24,     11389,      40.9,      40.7,         0,     20.54
   98,    1,    6,    1,     10426,      40.9,      40.5,         0,     19.58
   98,    1,    6,    2,      9950,      41.5,      40.9,         0,     18.88
   98,    1,    6,    3,      9710,      42.1,      41.5,         0,     18.13
   98,    1,    6,    4,      9650,      41.9,      41.3,         0,     18.06
