 YEAR,  MON,  DAY, HOUR,      LOAD,  DRY BULB, DEW POINT,       OP4,    LAMBDA 
   85,    1,    1,    1,      8568,      34.0,      25.7,         0,      0.00
   85,    1,    1,    2,      8044,      34.1,      25.6,         0,      0.00
   85,    1,    1,    3,      7555,      34.2,      25.5,         0,      0.00
   85,    1,    1,    4,      7214,      34.0,      25.7,         0,      0.00
   85,    1,    1,    5,      7159,      33.6,      26.6,         0,      0.00
   85,    1,    1,    6,      7187,      33.1,      27.6,         0,      0.00
   85,    1,    1,    7,      7462,      32.8,      28.7,         0,      0.00
   85,    1,    1,    8,      7720,      33.1,      29.6,         0,      0.00
   85,    1,    1,    9,      8228,      33.5,      30.5,         0,      0.00
   85,    1,    1,   10,      9023,      33.9,      31.2,         0,      0.00
   85,    1,    1,   11,      9828,      34.2,      31.7,         0,      0.00
   85,    1,    1,   12,     10486,      34.5,      32.1,         0,      0.00
   85,    1,    1,   13,     10723,      34.7,      32.3,         0,      0.00
   85,    1,    1,   14,     10633,      34.9,      32.6,         0,      0.00
   85,    1,    1,   15,     10322,      35.1,      32.8,         0,      0.00
   85,    1,    1,   16,     10293,      35.3,      33.0,         0,      0.00
   85,    1,    1,   17,     10918,      35.5,      33.3,         0,      0.00
   85,    1,    1,   18,     11432,      35.5,      33.4,         0,      0.00
   85,    1,    1,   19,     11360,      35.3,      33.2,         0,      0.00
   85,    1,    1,   20,     11091,      34.4,      32.3,         0,      0.00
   85,    1,    1,   21,     10734,      33.4,      31.3,         0,      0.00
   85,    1,    1,   22,     10082,      32.7,      30.6,         0,      0.00
   85,    1,    1,   23,      9305,      32.9,      30.7,         0,      0.00
   85,    1,    1,   24,      8432,      33.2,      30.9,         0,      0.00
   85,    1,    2,    1,      7801,      33.4,      31.1,         0,      0.00
   85,    1,    2,    2,      7472,      33.0,      30.7,         0,      0.00
   85,    1,    2,    3,      7333,      32.8,      30.6,         0,      0.00
   85,    1,    2,    4,      7278,      32.9,      30.8,         0,      0.00
   85,    1,    2,    5,      7403,      33.8,      31.9,         0,      0.00
   85,    1,    2,    6,      8221,      34.9,      33.1,         0,      0.00
   85,    1,    2,    7,     10286,      35.9,      33.9,         0,      0.00
   85,    1,    2,    8,     12298,      36.4,      33.5,         0,      0.00
   85,    1,    2,    9,     13078,      36.7,      32.9,         0,      0.00
   85,    1,    2,   10,     13454,      37.0,      32.4,         0,      0.00
   85,    1,    2,   11,     13730,      37.0,      32.3,         0,      0.00
   85,    1,    2,   12,     13791,      36.9,      32.3,         0,      0.00
   85,    1,    2,   13,     13614,      36.7,      32.1,         0,      0.00
   85,    1,    2,   14,     13629,      36.6,      31.7,         0,      0.00
   85,    1,    2,   15,     13422,      36.4,      31.1,         0,      0.00
   85,    1,    2,   16,     13341,      36.1,      30.6,         0,      0.00
   85,    1,    2,   17,     14108,      35.6,      30.0,         0,      0.00
   85,    1,    2,   18,     14575,      35.0,      29.4,         0,      0.00
   85,    1,    2,   19,     14133,      34.4,      28.6,         0,      0.00
   85,    1,    2,   20,     13667,      33.8,      27.6,         0,      0.00
   85,    1,    2,   21,     13159,      33.2,      26.6,         0,      0.00
   85,    1,    2,   22,     12263,      32.5,      25.2,         0,      0.00
   85,    1,    2,   23,     11070,      31.8,      23.5,         0,      0.00
   85,    1,    2,   24,      9879,      31.0,      21.5,         0,      0.00
   85,    1,    3,    1,      9033,      30.0,      19.4,         0,      0.00
   85,    1,    3,    2,      8676,      28.6,      17.1,         0,      0.00
   85,    1,    3,    3,      8498,      27.1,      15.0,         0,      0.00
   85,    1,    3,    4,      8466,      25.7,      13.1,         0,      0.00
   85,    1,    3,    5,      8631,      24.6,      12.1,         0,      0.00
   85,    1,    3,    6,      9419,      23.8,      11.4,         0,      0.00
   85,    1,    3,    7,     11497,      23.5,      11.0,         0,      0.00
   85,    1,    3,    8,     13373,      24.1,      10.7,         0,      0.00
   85,    1,    3,    9,     13997,      25.0,      10.5,         0,      0.00
   85,    1,    3,   10,     14120,      25.9,      10.1,         0,      0.00
   85,    1,    3,   11,     14202,      26.5,       9.0,         0,      0.00
   85,    1,    3,   12,     14140,      27.0,       7.8,         0,      0.00
   85,    1,    3,   13,     13838,      27.3,       7.0,         0,      0.00
   85,    1,    3,   14,     13826,      27.3,       6.7,         0,      0.00
   85,    1,    3,   15,     13603,      27.1,       6.7,         0,      0.00
   85,    1,    3,   16,     13465,      26.5,       6.9,         0,      0.00
   85,    1,    3,   17,     14276,      25.3,       7.0,         0,      0.00
   85,    1,    3,   18,     15101,      24.0,       7.1,         0,      0.00
   85,    1,    3,   19,     14855,      22.8,       7.4,         0,      0.00
   85,    1,    3,   20,     14405,      22.1,       7.7,         0,      0.00
   85,    1,    3,   21,     13895,      21.6,       7.9,         0,      0.00
   85,    1,    3,   22,     13022,      21.0,       8.0,         0,      0.00
   85,    1,    3,   23,     11823,      20.3,       7.8,         0,      0.00
   85,    1,    3,   24,     10603,      19.6,       7.6,         0,      0.00
   85,    1,    4,    1,      9753,      18.9,       7.6,         0,      0.00
   85,    1,    4,    2,      9361,      18.3,       8.1,         0,      0.00
   85,    1,    4,    3,      9148,      17.6,       8.6,         0,      0.00
   85,    1,    4,    4,      9139,      17.1,       8.9,         0,      0.00
   85,    1,    4,    5,      9268,      16.5,       8.4,         0,      0.00
   85,    1,    4,    6,      9991,      16.3,       8.0,         0,      0.00
   85,    1,    4,    7,     12162,      16.7,       7.8,         0,      0.00
   85,    1,    4,    8,     14043,      18.2,       8.3,         0,      0.00
   85,    1,    4,    9,     14576,      20.2,       9.0,         0,      0.00
   85,    1,    4,   10,     14590,      22.3,       9.7,         0,      0.00
   85,    1,    4,   11,     14603,      24.0,      10.1,         0,      0.00
   85,    1,    4,   12,     14422,      25.7,      10.5,         0,      0.00
   85,    1,    4,   13,     14059,      27.0,      11.0,         0,      0.00
   85,    1,    4,   14,     13971,      27.8,      11.8,         0,      0.00
   85,    1,    4,   15,     13717,      28.3,      12.6,         0,      0.00
   85,    1,    4,   16,     13549,      28.5,      13.5,         0,      0.00
   85,    1,    4,   17,     14083,      28.7,      14.2,         0,      0.00
   85,    1,    4,   18,     14575,      28.7,      15.0,         0,      0.00
   85,    1,    4,   19,     14225,      28.6,      15.8,         0,      0.00
   85,    1,    4,   20,     13654,      28.6,      16.6,         0,      0.00
   85,    1,    4,   21,     13083,      28.7,      17.5,         0,      0.00
   85,    1,    4,   22,     12195,      28.6,      18.4,         0,      0.00
   85,    1,    4,   23,     11255,      28.5,      19.6,         0,      0.00
   85,    1,    4,   24,     10241,      28.3,      20.7,         0,      0.00
   85,    1,    5,    1,      9355,      28.0,      21.7,         0,      0.00
   85,    1,    5,    2,      8836,      27.5,      22.2,         0,      0.00
   85,    1,    5,    3,      8534,      27.0,      22.3,         0,      0.00
