 YEAR,  MON,  DAY, HOUR,      LOAD,  DRY BULB, DEW POINT,       OP4,    LAMBDA 
   95,    1,    1,    1,     10553,      33.7,      29.0,         0,     15.65
   95,    1,    1,    2,      9955,      34.0,      31.2,         0,     15.24
   95,    1,    1,    3,      9426,      34.4,      33.0,         0,     14.50
   95,    1,    1,    4,      9096,      35.2,      33.9,         0,     13.64
   95,    1,    1,    5,      8991,      35.9,      34.7,         0,     13.56
   95,    1,    1,    6,      9053,      36.0,      35.1,         0,     13.60
   95,    1,    1,    7,      9292,      36.3,      35.1,         0,     13.73
   95,    1,    1,    8,      9697,      37.1,      35.5,         0,     14.28
   95,    1,    1,    9,     10446,      37.2,      36.0,         0,     14.59
   95,    1,    1,   10,     11337,      37.7,      36.1,         0,     14.88
   95,    1,    1,   11,     12006,      38.0,      35.9,         0,     15.80
   95,    1,    1,   12,     12390,      38.8,      36.3,         0,     16.81
   95,    1,    1,   13,     12483,      39.2,      36.3,         0,     19.21
   95,    1,    1,   14,     12187,      39.6,      37.6,         0,     16.47
   95,    1,    1,   15,     11964,      39.0,      37.1,         0,     15.25
   95,    1,    1,   16,     11941,      39.2,      37.2,         0,     14.39
   95,    1,    1,   17,     12887,      39.6,      37.4,         0,     15.72
   95,    1,    1,   18,     13763,      38.9,      36.5,         0,     17.07
   95,    1,    1,   19,     13585,      37.5,      35.4,         0,     16.48
   95,    1,    1,   20,     13145,      35.8,      34.4,         0,     15.33
   95,    1,    1,   21,     12726,      36.6,      34.1,         0,     17.09
   95,    1,    1,   22,     12026,      37.5,      35.4,         0,     18.86
   95,    1,    1,   23,     11195,      36.6,      35.6,         0,     18.20
   95,    1,    1,   24,     10328,      36.0,      34.3,         0,     16.93
   95,    1,    2,    1,      9491,      35.7,      34.5,         0,     14.10
   95,    1,    2,    2,      9024,      35.8,      35.5,         0,     12.94
   95,    1,    2,    3,      8823,      35.1,      35.0,         0,     13.40
   95,    1,    2,    4,      8762,      35.2,      34.7,         0,     14.03
   95,    1,    2,    5,      8855,      35.9,      34.9,         0,     14.38
   95,    1,    2,    6,      9261,      35.2,      34.2,         0,     14.86
   95,    1,    2,    7,      9941,      34.7,      34.2,         0,     16.40
   95,    1,    2,    8,     10808,      34.1,      33.1,         0,     16.91
   95,    1,    2,    9,     11836,      33.1,      32.0,         0,     17.73
   95,    1,    2,   10,     12874,      33.5,      31.7,         0,     21.12
   95,    1,    2,   11,     13480,      35.1,      31.5,         0,     22.72
   95,    1,    2,   12,     13732,      35.0,      29.2,         0,     23.25
   95,    1,    2,   13,     13615,      35.2,      26.1,         0,     23.15
   95,    1,    2,   14,     13312,      34.8,      23.8,         0,     23.09
   95,    1,    2,   15,     13070,      33.8,      22.1,         0,     22.97
   95,    1,    2,   16,     13168,      31.1,      19.8,         0,     23.12
   95,    1,    2,   17,     14411,      29.7,      18.8,         0,     24.47
   95,    1,    2,   18,     15828,      28.5,      17.4,         0,     28.14
   95,    1,    2,   19,     15691,      27.6,      16.1,         0,     30.54
   95,    1,    2,   20,     15336,      26.6,      15.9,         0,     26.54
   95,    1,    2,   21,     14790,      26.6,      15.8,         0,     25.76
   95,    1,    2,   22,     13855,      25.5,      16.2,         0,     23.02
   95,    1,    2,   23,     12569,      25.0,      16.7,         0,     20.12
   95,    1,    2,   24,     11418,      24.8,      16.5,         0,     17.28
   95,    1,    3,    1,     10607,      24.2,      16.1,         0,     15.59
   95,    1,    3,    2,     10251,      24.2,      15.4,         0,     15.43
   95,    1,    3,    3,     10161,      23.8,      14.2,         0,     15.31
   95,    1,    3,    4,     10207,      23.1,      13.7,         0,     15.66
   95,    1,    3,    5,     10530,      22.3,      13.2,         0,     16.79
   95,    1,    3,    6,     11639,      21.4,      11.6,         0,     19.68
   95,    1,    3,    7,     13960,      21.3,      11.6,         0,     22.74
   95,    1,    3,    8,     15596,      21.7,      11.7,         0,     24.07
   95,    1,    3,    9,     15924,      23.3,      12.7,         0,     22.89
   95,    1,    3,   10,     15941,      25.7,      13.4,         0,     23.39
   95,    1,    3,   11,     15943,      27.0,      13.4,         0,     23.27
   95,    1,    3,   12,     15832,      29.1,      15.0,         0,     22.65
   95,    1,    3,   13,     15583,      29.4,      14.9,         0,     22.18
   95,    1,    3,   14,     15415,      30.8,      15.4,         0,     21.30
   95,    1,    3,   15,     15283,      30.3,      14.7,         0,     20.55
   95,    1,    3,   16,     15462,      29.2,      14.2,         0,     22.24
   95,    1,    3,   17,     16599,      28.8,      14.5,         0,     24.64
   95,    1,    3,   18,     17562,      28.5,      15.1,         0,     28.99
   95,    1,    3,   19,     17360,      28.1,      15.5,         0,     25.74
   95,    1,    3,   20,     16785,      27.6,      15.3,         0,     25.05
   95,    1,    3,   21,     16090,      27.4,      15.0,         0,     24.45
   95,    1,    3,   22,     14953,      27.0,      15.6,         0,     23.47
   95,    1,    3,   23,     13458,      27.0,      16.5,         0,     19.30
   95,    1,    3,   24,     12061,      27.2,      15.6,         0,     17.75
   95,    1,    4,    1,     11110,      27.5,      16.8,         0,     18.34
   95,    1,    4,    2,     10669,      26.7,      18.0,         0,     18.63
   95,    1,    4,    3,     10508,      26.4,      19.0,         0,     18.71
   95,    1,    4,    4,     10462,      26.0,      20.0,         0,     18.86
   95,    1,    4,    5,     10733,      25.6,      20.1,         0,     20.25
   95,    1,    4,    6,     11703,      24.9,      20.0,         0,     22.10
   95,    1,    4,    7,     13915,      24.8,      20.0,         0,     23.70
   95,    1,    4,    8,     15504,      24.1,      19.5,         0,     25.31
   95,    1,    4,    9,     15789,      26.2,      20.0,         0,     24.73
   95,    1,    4,   10,     15743,      27.9,      18.7,         0,     23.80
   95,    1,    4,   11,     15732,      29.0,      16.2,         0,     23.60
   95,    1,    4,   12,     15634,      30.2,      13.8,         0,     23.07
   95,    1,    4,   13,     15422,      30.2,      12.7,         0,     21.68
   95,    1,    4,   14,     15306,      30.4,      11.5,         0,     22.74
   95,    1,    4,   15,     15184,      28.5,       9.7,         0,     23.81
   95,    1,    4,   16,     15318,      26.3,       9.3,         0,     24.37
   95,    1,    4,   17,     16424,      25.3,       7.9,         0,     24.92
   95,    1,    4,   18,     17697,      23.3,       7.6,         0,     25.85
   95,    1,    4,   19,     17577,      20.9,       6.5,         0,     27.28
   95,    1,    4,   20,     17178,      19.9,       4.0,         0,     25.75
   95,    1,    4,   21,     16615,      18.8,       2.8,         0,     25.10
   95,    1,    4,   22,     15629,      17.0,       1.1,         0,     23.95
   95,    1,    4,   23,     14139,      16.1,       0.6,         0,     22.24
   95,    1,    4,   24,     12824,      15.8,      -1.3,         0,     20.03
   95,    1,    5,    1,     11972,      14.4,      -0.1,         0,     18.63
   95,    1,    5,    2,     11639,      13.4,      -0.2,         0,     17.59
   95,    1,    5,    3,     11508,      13.4,      -0.2,         0,     17.83
   95,    1,    5,    4,     11532,      12.5,       0.2,         0,     19.70
   95,    1,    5,    5,     11866,      11.8,       0.1,         0,     22.90
   95,    1,    5,    6,     12908,      10.8,       1.1,         0,     24.21
   95,    1,    5,    7,     15186,      11.4,       0.8,         0,     25.54
   95,    1,    5,    8,     16814,      11.7,       0.7,         0,     25.84
   95,    1,    5,    9,     17028,      13.3,       0.5,         0,     25.03
   95,    1,    5,   10,     17050,      16.1,      -1.3,         0,     24.82
   95,    1,    5,   11,     16864,      18.0,      -1.3,         0,     24.77
   95,    1,    5,   12,     16593,      20.0,       0.4,         0,     24.63
   95,    1,    5,   13,     16411,      21.4,       1.5,         0,     24.43
   95,    1,    5,   14,     16180,      23.1,       3.0,         0,     23.66
   95,    1,    5,   15,     15933,      22.9,       3.5,         0,     23.11
   95,    1,    5,   16,     15938,      22.5,       3.7,         0,     21.25
   95,    1,    5,   17,     16913,      21.4,       4.0,         0,     24.16
   95,    1,    5,   18,     18130,      20.9,       3.9,         0,     27.05
   95,    1,    5,   19,     18000,      20.3,       3.8,         0,     26.20
   95,    1,    5,   20,     17589,      19.5,       3.9,         0,     25.90
   95,    1,    5,   21,     17005,      20.0,       3.1,         0,     25.14
   95,    1,    5,   22,     15931,      19.8,       3.5,         0,     24.82
   95,    1,    5,   23,     14378,      19.1,       3.7,         0,     23.94
   95,    1,    5,   24,     13019,      18.6,       2.3,         0,     23.58
   95,    1,    6,    1,     12107,      18.5,       1.8,         0,     23.83
   95,    1,    6,    2,     11723,      17.7,       1.0,         0,     22.95
   95,    1,    6,    3,     11548,      16.9,       2.4,         0,     22.90
   95,    1,    6,    4,     11531,      16.9,       2.2,         0,     22.59
   95,    1,    6,    5,     11752,      16.5,       1.8,         0,     23.45
   95,    1,    6,    6,     12733,      16.6,       1.4,         0,     24.38
   95,    1,    6,    7,     14958,      16.9,       1.5,         0,     25.64
   95,    1,    6,    8,     16543,      18.2,       1.2,         0,     26.00
   95,    1,    6,    9,     16753,      20.5,       1.9,         0,     25.88
   95,    1,    6,   10,     16722,      23.6,       3.0,         0,     24.75
   95,    1,    6,   11,     16589,      26.8,       3.1,         0,     24.00
   95,    1,    6,   12,     16368,      31.0,       3.8,         0,     23.61
   95,    1,    6,   13,     15986,      33.9,       1.9,         0,     23.40
   95,    1,    6,   14,     15795,      34.4,       2.8,         0,     23.39
   95,    1,    6,   15,     15580,      34.9,       5.5,         0,     23.03
   95,    1,    6,   16,     15606,      33.9,       8.6,         0,     23.35
   95,    1,    6,   17,     16431,      34.3,      12.6,         0,     24.68
   95,    1,    6,   18,     16950,      34.6,      16.7,         0,     25.08
   95,    1,    6,   19,     16545,      35.2,      19.0,         0,     23.56
   95,    1,    6,   20,     15901,      35.9,      21.1,         0,     18.34
   95,    1,    6,   21,     15263,      35.4,      22.3,         0,     17.68
   95,    1,    6,   22,     14344,      35.0,      26.1,         0,     18.64
   95,    1,    6,   23,     13127,      33.9,      28.6,         0,     17.62
   95,    1,    6,   24,     11844,      34.2,      31.6,         0,     16.17
   95,    1,    7,    1,     10831,      33.5,      32.9,         0,     16.24
   95,    1,    7,    2,     10298,      34.0,      33.7,         0,     15.63
   95,    1,    7,    3,      9963,      34.6,      34.3,         0,     15.70
   95,    1,    7,    4,      9825,      36.4,      36.3,         0,     15.66
   95,    1,    7,    5,      9768,      40.6,      40.0,         0,     15.67
   95,    1,    7,    6,     10028,      42.0,      41.0,         0,     16.73
   95,    1,    7,    7,     10611,      42.4,      41.6,         0,     19.17
   95,    1,    7,    8,     11492,      43.2,      42.0,         0,     19.12
