Date,Type,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
Planned,Total,11670.604510000001,10753.673770000023,10672.42377000002,10591.073770000003,10651.423770000009,11221.891389999999,13076.06352,15851.268440000002,17067.383199999997,17962.44672,18698.536889999996,19167.116800000003,19404.723360000004,19648.979510000012,19697.93443000001,19646.47951000001,19582.584020000002,19326.928280000007,18810.225410000003,18386.288929999995,18399.23156,17695.56557,16026.385250000003,13600.035249999975
Planned,Nuclear,4673.000000000013,4673.000000000013,4673.000000000013,4672.9,4673.000000000013,4673.000000000013,4673.000000000013,4673.000000000013,4673.000000000013,4673.000000000013,4673.000000000013,4673.000000000013,4673.000000000013,4673.000000000013,4673.000000000013,4673.000000000013,4673.000000000013,4673.000000000013,4673.000000000013,4673.000000000013,4673.000000000013,4673.000000000013,4673.000000000013,4673.000000000013
Planned,Hydro,164.50000000000043,157.30000000000044,149.8000000000004,138.3000000000004,156.50000000000045,161.50000000000045,159.50000000000045,164.50000000000045,167.50000000000043,167.50000000000045,167.50000000000045,209.8000000000004,235.8000000000004,235.80000000000047,255.8000000000004,231.50000000000045,213.70000000000044,189.70000000000044,170.50000000000043,166.50000000000043,163.50000000000043,156.50000000000043,157.50000000000043,155.50000000000043
Planned,Steam,5986.604509999987,5923.373770000013,5849.623770000007,5779.873770000002,5821.9237699999985,6387.391389999987,8023.563519999985,10131.333199999965,11293.883199999986,11889.400000000089,12572.916799999992,12762.316799999984,12838.923359999986,12892.879509999988,12921.83442999999,12894.679509999987,12870.879509999984,12837.50000000007,12506.300000000067,12331.788929999979,12397.400000000065,11886.73401000007,10681.885249999987,8298.535249999964
Planned,CT,825.0,0.0,0.0,0.0,0.0,0.0,220.0,869.4352400000225,920.0000000000027,1217.5467199999034,1270.1200899999997,1507.0000000000093,1642.000000000009,1832.3000000000093,1832.300000000009,1832.3000000000093,1810.0045100000045,1612.7282799999236,1444.4254099999262,1200.000000000008,1151.3315599999228,966.33155999992,500.0000000000027,460.0000000000027
Planned,Diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Planned,FixedImport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planned,Other,21.5,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,16.0,15.0,14.0,13.0,14.0,13.0
Planned,INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planned,DEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planned,FLEX,1308.0,1504.1315599999746,1171.6786899999777,1064.0,1154.9512299999858,1299.9999999999982,1013.0,13.0,12.999999999996362,12.999999999992724,12.999999999996362,12.999999999992724,12.999999999992724,12.999999999992724,12.999999999992724,12.999999999992724,12.999999999996362,12.999999999996362,12.999999999996362,13.0,12.999999999996362,12.999999999996362,12.999999999996362,723.7311400000186
Planned,FLEX,1308.0,1504.1315599999746,1171.6786899999777,1064.0,1154.9512299999858,1299.9999999999982,1013.0,13.0,12.999999999996362,12.999999999992724,12.999999999996362,12.999999999992724,12.999999999992724,12.999999999992724,12.999999999992724,12.999999999992724,12.999999999996362,12.999999999996362,12.999999999996362,13.0,12.999999999996362,12.999999999996362,12.999999999996362,723.7311400000186
Planned,LOAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planned,Slack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Total,11948.2,11077.300000000001,11072.300000000001,11063.300000000001,11076.1,11424.100000000002,13573.1,16535.800000000003,17651.5,18514.5,19274.8,19921.699999999997,20114.999999999996,20324.399999999994,20378.0,20353.100000000002,20320.999999999996,19915.300000000003,19194.699999999997,19106.1,19119.399999999998,18279.8,16347.1,14086.800000000001
0,Nuclear,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0
0,Hydro,170.5,160.5,156.5,148.5,159.5,169.5,169.5,173.5,176.5,176.5,176.5,255.90000000000003,289.9,289.90000000000003,323.9,285.6,239.5,202.7,176.5,176.5,172.5,165.5,165.5,165.5
0,Steam,6243.2,6243.799999999999,6242.8,6241.8,6243.6,6581.6,8430.6,10527.800000000001,11640.5,12233.5,12993.799999999997,13158.099999999999,13182.4,13201.5,13221.099999999999,13234.5,13248.5,13264.8,12805.699999999999,12825.1,12842.4,12279.800000000001,10917.1,8656.8
0,CT,840.0,0.0,0.0,0.0,0.0,0.0,300.0,1140.0,1140.0,1410.0,1410.0,1813.2,1948.2,2138.5,2138.5,2138.5,2138.5,1753.3,1518.0,1410.0,1410.0,1140.0,570.0,570.0
0,Diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,FixedImport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
